,TWSE Index,LMCADY Comdty,XAU Curncy,S5COND Index,S5CONS Index,S5UTIL Index,MMFA Index,JPY Curncy,GVLQUSD Index,GVLQJPY Index,.TED G Index,US0003M Index,USGG3M Index,BICLUSSP Index,BICLOISS Index,NYRPVOA Index,LUACOAS Index,LF98OAS Index,EMUSOAS Index,GSUSFCI Index,CIFCEMAS Index,CIFCTW Index,TINFMTDN Index,TWD Curncy,BISNTWN Index,USYC2Y10 Index,USYC5Y30 Index,BLQCOAS Index,LUACOAS Index,LECPOAS Index,LG30OAS Index,LF98OAS Index,LP01OAS Index,BEHSOAS Index,BEHPOAS Index,CONssent Index,NAPMPMI Index,GRZEEUCU Index,EUR3EU27 Index,MXEM Index,JCOMACF Index,JNMTOY Index,JWEXBUS Index,MXJP Index,CHEFTYOY Index,CNPPIY Index,CPMINORD Index,CPMIPROD Index,CPMIIFGS Index,MXCN Index,MXEU Index,TW1 Index,FTA Index,KSFIYTDN Index,JASXYTDN Index,THIVYTDN Index,CNFVBYTD Index,FIINYTDN Index,TINFYTDN Index,KOSBYTDD Index,IDGBFYTD Index,TBTVYTDD Index,CNFVBYTD Index,FIINDYTD Index
2000/1/3,8448.84,1855,289,291.3933,204.23,138.75,1625,101.45,#N/A N/A,#N/A N/A,59.025,6.00125,5.411,40.9,#N/A N/A,8.99,#N/A Requesting Data...,4.67,#N/A N/A,98.25,#N/A N/A,#N/A N/A,0,31.388,114.84,29.3,7.95,#N/A N/A,1.11,#N/A N/A,#N/A N/A,#N/A Requesting Data...,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,136.2318,#N/A N/A,-2.7,#N/A N/A,1015.32,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,33.83,132.91,23813,#N/A N/A,3165.88,1554.23,-72.4,#N/A Requesting Data...,20.5,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,52.7
2000/1/4,8756.55,1829.75,282.25,282.7505,201.13,138.91,1625,103.22,#N/A N/A,#N/A N/A,59.55,6.0425,5.447,40.3,#N/A N/A,8.99,1.11,4.67,#N/A N/A,98.44,#N/A N/A,#N/A N/A,139.72,30.576,117.08,13.85,13.9,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,130.9846,#N/A N/A,-2.7,#N/A N/A,1014.05,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,34.9,127.72,23178,#N/A N/A,58.22,5.576,28.78,,42.4,139.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/5,8849.87,1840,280,280.0653,201.84,144.08,1639,104.14,#N/A N/A,#N/A N/A,60.5,6.03,5.425,42.5,#N/A N/A,6.8,1.11,4.67,#N/A N/A,98.47,#N/A N/A,#N/A N/A,123.5,30.765,116.67,29.55,11.95,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,127.503,#N/A N/A,-2.7,#N/A N/A,977.97,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,33.48,124.55,24564,#N/A N/A,-44.73,4.293,14.85,,-21.5,123.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/6,8922.03,1833.75,281.1,281.2764,204.38,146.09,1639,105.23,#N/A N/A,#N/A N/A,64.7,6.03,5.383,46.7,#N/A N/A,6.8,1.11,4.67,#N/A N/A,98.47,#N/A N/A,#N/A N/A,51.42,30.85,116.69,21.6,20.95,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,126.6849,#N/A N/A,-2.7,#N/A N/A,953.34,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,33.24,123.95,24673,#N/A N/A,-101.48,4.293,-23.09,,-88.3,51.42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/7,8845.47,1841.4,281.75,290.4922,212.88,148.39,1639,105.34,#N/A N/A,#N/A N/A,65,6.03,5.38,47,#N/A N/A,6.8,1.11,4.67,#N/A N/A,98.33,#N/A N/A,#N/A N/A,-123.17,30.848,117.03,15.6,9.15,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,130.7876,#N/A N/A,-2.7,#N/A N/A,952.22,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,34.91,126.76,24431,#N/A N/A,-210.07,4.293,-41.53,,-79.9,-123.17,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/10,9102.6,1822.5,281.48,302.3327,210.59,147.42,1639,105.16,#N/A N/A,#N/A N/A,63.625,6.02625,5.39,49,#N/A N/A,0.75,1.11,4.67,#N/A N/A,98.27,#N/A N/A,#N/A N/A,68.35,30.825,117.32,12.35,-0.8,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,132.7259,#N/A N/A,-2.7,#N/A N/A,952.22,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,35.56,128.58,24882,#N/A N/A,-83.09,4.293,-38.25,,-105.3,68.35,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/11,8927.03,1821.5,283.25,298.2206,212.76,146.77,1639,105.95,#N/A N/A,#N/A N/A,60.4,6.03,5.426,45.4,#N/A N/A,0.75,1.11,4.67,#N/A N/A,98.38,#N/A N/A,#N/A N/A,225.24,30.819,117.68,18.5,-2.1,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,131.8439,#N/A N/A,-2.7,#N/A N/A,990.59,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,34.3,127.75,24877,#N/A N/A,101.91,-2.225,-46.07,,-52.7,225.24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/12,9144.65,1843.5,282.35,294.1038,213.43,149.5,1652,105.79,#N/A N/A,#N/A N/A,59.338,6.03938,5.446,43.4,#N/A N/A,0.75,1.11,4.67,#N/A N/A,98.42,#N/A N/A,#N/A N/A,406.84,30.824,117.48,30.9,14.25,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,131.4978,#N/A N/A,-2.7,#N/A N/A,980.21,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,33.97,127.63,24452,#N/A N/A,269.59,-8.106,-54.91,,-34.4,406.84,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/13,9107.19,1844.75,284.25,298.1132,212.24,150.38,1652,106.17,#N/A N/A,#N/A N/A,63.7,6.04,5.403,47.7,#N/A N/A,2.995,1.11,4.67,#N/A N/A,98.33,#N/A N/A,#N/A N/A,558.53,30.832,117.35,20,14.25,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,132.882,#N/A N/A,-2.7,#N/A N/A,984.64,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,33.48,128.43,24847,#N/A N/A,225.44,4.597,-60.24,,-60.5,558.53,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0
2000/1/14,9023.24,1850,284.2,296.9036,211.1,151.68,1652,105.87,#N/A N/A,#N/A N/A,64,6.04,5.4,49,#N/A N/A,2.995,1.11,4.67,#N/A N/A,98.31,#N/A N/A,#N/A N/A,714.88,30.847,117.31,24.85,7.7,#N/A N/A,1.11,#N/A N/A,#N/A N/A,4.67,#N/A N/A,#N/A N/A,#N/A N/A,105.4,57.8,9.4,-10.9,136.4813,#N/A N/A,-2.7,#N/A N/A,988.87,-0.8,0.8,#N/A N/A,#N/A N/A,#N/A N/A,32.84,131.57,25184,#N/A N/A,368.78,17.975,-72.45,,-3.2,714.88,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5
